Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
ORLEANS COMPLEX,Humboldt,Fortuna,40.5974,-124.1561,7/24/2006,9/30/2006,USFS,15710,LIGHTNING
LAKIN,Siskiyou,Yreka,41.7326,-122.6378,7/25/2006,8/1/2006,USFS,480,LIGHTNING
EMPIRE,Los Angeles,Los Angeles,34.0549,-118.2445,7/25/2006,7/25/2006,CDF,1094,LIGHTNING
RAYMOND,Madera,Madera Acres,37.0191,-120.0669,7/26/2006,7/26/2006,CDF,477,SMOKING
HOY,Siskiyou,Yreka,41.7326,-122.6378,7/26/2006,7/28/2006,CDF,1283,ELEC. POW.
HUNTER,Mendocino,Willits,39.4096,-123.3556,7/26/2006,7/26/2006,USFS,16296,LIGHTNING
MDF- 484 (SAGE),Modoc,Alturas,41.4871,-120.5424,7/27/2006,8/5/2006,USFS,4855,LIGHTNING
BAR COMPLEX,Trinity,Hayfork,40.5543,-123.1831,7/27/2006,7/27/2006,USFS,100414,LIGHTNING
JUNCTION,Trinity,Hayfork,40.5543,-123.1831,7/29/2006,7/29/2006,CDF,3126,MISC.
ANTELOPE,San Luis Obispo,San Luis Obispo,35.2828,-120.6597,8/1/2006,8/1/2006,CDF,400,UNDET.
MNF ASSIST (KINGSLEY,Tehama,Red Bluff,40.1785,-122.2359,8/2/2006,8/2/2006,USFS,6854,LIGHTNING
COTTONWOOD,Kern,Bakersfield,35.3739,-119.0195,8/5/2006,8/6/2006,BLM,2346,UI
COVINGTON,San Bernardino,San Bernardino,34.1083,-117.2898,8/7/2006,8/7/2006,NPS,532,LIGHTNING
GOLF,Riverside,Riverside,33.9534,-117.3962,8/8/2006,8/10/2006,CDF,800,EQUIP. USE
GILAMN (GILMAN),Riverside,Riverside,33.9534,-117.3962,8/12/2006,8/13/2006,CDF,300,EQUIP. USE
QUAIL,Los Angeles,Los Angeles,34.0549,-118.2445,8/13/2006,8/16/2006,CDF,4864,UI
MARYSVILLE,Yuba,Yuba City,39.1404,-121.617,8/16/2006,8/17/2006,CDF,388,UNDET.
BOUNDARY,Mariposa,Yosemite Valley,37.7344,-119.6065,8/21/2006,8/22/2006,NPS,536,HUMAN
EMERALD,San Bernardino,San Bernardino,34.1083,-117.2898,8/29/2006,8/29/2006,CDF/LRA,921,SHOOTERS
PIGEON,Trinity,Hayfork,40.5543,-123.1831,9/2/2006,10/16/2006,USFS,6452,HUMAN
RALSTON,Placer,Last Chance,39.1113,-120.6247,9/5/2006,9/18/2006,USFS,8423,UI
ASSIST (SAWMILL),Mono,Mammoth Lakes,37.6433,-118.9669,9/14/2006,9/15/2006,USFS,7434,HUMAN
ORCHARD,Riverside,Riverside,33.9534,-117.3962,9/16/2006,9/16/2006,CDF,1580,UNDET.
RANCH,Riverside,Riverside,33.9534,-117.3962,9/17/2006,9/17/2006,CDF,1670,UNDET.
BASSETTS,Sierra,Sierra City,39.5657,-120.6339,9/19/2006,9/26/2006,USFS,2114,UI
PINNACLES,San Bernardino,San Bernardino,34.1083,-117.2898,9/19/2006,9/21/2006,USFS,2370,UI
NAPA,NAPA,Napa,38.2971,-122.2856,9/22/2006,9/24/2006,CDF,387,ELEC. POW.
82,Yolo,Yolo,38.7318,-121.8078,9/22/2006,9/22/2006,CDF,500,UNDET.
ADAMS,Fresno,Fresno,36.7394,-119.7849,9/24/2006,9/24/2006,LOCAL,800,DEBRIS
NOBLE,Mendocino,Willits,39.4096,-123.3556,9/24/2006,9/30/2006,CDF,1014,UNDET.
"CUYAM,A",San Luis Obispo,San Luis Obispo,35.2828,-120.6597,10/9/2006,10/10/2006,CDF,850,UI
RUBE,Fresno,Fresno,36.7394,-119.7849,10/10/2006,10/10/2006,USFS,341,LIGHTNING
SUNRISE,Riverside,Riverside,33.9534,-117.3962,10/13/2006,10/14/2006,CDF,497,VEHICLE
PHELPS,Fresno,Fresno,36.7394,-119.7849,10/25/2006,10/25/2006,CDF,1600,EQUIP. USE
ESPERANZA,Riverside,Riverside,33.9534,-117.3962,10/26/2006,10/31/2006,CDF,40200,ARSON
SIERRA,San Bernardino,San Bernardino,34.1083,-117.2898,11/6/2006,11/7/2006,USFS,640,HUMAN
SHEKELL,Ventura,Ventura,34.2783,-119.2932,12/3/2006,12/5/2006,CDF,13600,UI
CITRUS,San Bernardino,San Bernardino,34.1083,-117.2898,12/4/2006,12/4/2006,USFS,525,UI
WESTSIDE,Kern,Bakersfield,35.3739,-119.0195,12/7/2006,12/9/2006,CDF,4025,UI
MOCKINGBIRD,Riverside,Riverside,33.9534,-117.3962,1/5/2007,1/6/2007,CDF,671,EQUIP. USE
DIABLO,San Luis Obispo,San Luis Obispo,35.2828,-120.6597,1/14/2007,1/16/2007,CDF,332,STRUCTURE EXPOS
ALESSANDRO,Riverside,Riverside,33.9534,-117.3962,3/4/2007,3/4/2007,CDF,680,UNDET.
SIERRA,Riverside,Riverside,33.9534,-117.3962,3/11/2007,3/12/2007,CDF,1044,ARSON
241 FIRE,Orange,Lake Forest,33.6469,-117.686,3/11/2007,3/13/2007,CDF,2036,HUMAN
LITTLE 5,Fresno,Fresno,36.7394,-119.7849,3/22/2007,3/23/2007,CDF,300,OTHER
LAS FLORES,San Bernardino,San Bernardino,34.1083,-117.2898,3/31/2007,4/1/2007,LOCAL,4100,UI
WALKER,Mono,Mammoth Lakes,37.6433,-118.9669,4/6/2007,4/8/2007,BLM,901,UI
GOLDEN,Inyo,Bishop,37.365,-118.3947,4/14/2007,4/15/2007,NPS,1988,UI
RIVER DAY,Riverside,Riverside,33.9534,-117.3962,4/28/2007,4/29/2007,LOCAL,488,UNDET.
JAMES,Kern,Bakersfield,35.3739,-119.0195,4/29/2007,5/3/2007,BLM,1350,UI
GRIFFITH PARK,Los Angeles,Los Angeles,34.0549,-118.2445,5/8/2007,5/11/2007,LOCAL,817,UI
DAWSON,Riverside,Riverside,33.9534,-117.3962,5/8/2007,5/9/2007,CDF,990,EQUIP. USE
